,0
0,5.0
1,29.800671133382227
2,79.39099445151196
3,106.8394122035497
4,103.13200279253768
5,146.67027647072874
6,157.0835764808021
7,175.61528976714982
8,176.85836140821843
9,146.0564274518585
10,134.36703464763966
11,179.72492871051583
12,224.47494292236715
13,265.7698440380323
14,239.60271283940006
15,208.46222679420845
16,222.08252970461226
17,262.94913956885273
18,312.20313899767245
19,373.35690699383076
20,369.0407565567792
21,382.4983660095818
22,267.80561980660525
23,197.5059745931753
24,61.78033667761936
25,191.6105425074518
26,296.4889542630551
27,342.25331262092993
28,328.191163805487
29,301.3073181985463
30,274.7409689143576
31,190.89709269656257
32,130.89098517468648
33,69.91602105383286
34,59.8652653882032
35,114.84829123674413
36,161.28065600065
37,177.0424242942917
38,211.41251145568464
39,204.17034554508643
