x,y,z
-171.6,-4.0,0.0
-206.4,-4.2,0.0
-255.9,-0.2,0.0
-272.1,43.9,0.0
-205.5,95.0,0.0
-185.5,142.4,0.0
-151.1,151.0,0.0
-101.4,154.7,0.0
-47.8,117.2,0.0
-43.8,56.8,0.0
-43.9,17.1,0.0
3.0,2.7,0.0
47.8,1.8,0.0
89.0,5.5,0.0
45.9,84.9,0.0
31.3,-19.3,0.0
36.3,-67.2,0.0
38.6,-155.1,0.0
74.0,-190.2,0.0
154.1,-177.3,0.0
189.2,-52.8,0.0
174.4,148.0,0.0
10.2,187.9,0.0
-145.8,190.9,8.6
-232.6,-28.1,10.0
-119.4,-186.6,10.0
84.7,-144.1,0.0
148.1,-112.2,0.0
151.4,-15.2,0.0
124.7,-1.9,0.0
96.2,28.6,0.0
-9.5,88.3,0.0
-83.2,87.7,0.0
-124.3,42.4,0.0
-121.8,-28.1,0.0
-124.4,-106.3,0.0
-80.2,-133.3,0.0
-20.7,-87.9,0.0
25.7,-65.4,0.0
24.6,30.7,0.0
-176.6,-4.0,0.0
